topic,top_terms,candidate_theme,candidate_subtheme,decision,confidence,review_note
0,"interview hiring interviews recruiter applied resume position application",Recruitment and labor market,Hiring and interviews,include,high,"Clear interview, hiring-process, and onboarding complaints."
1,"bad good hate conversation like worst shitty dick",Other,Generic/deleted manager posts,exclude,high,"Expanded deterministic review confirms that the cluster is dominated by deleted, removed, or content-free posts and cannot support a substantive theme."
2,"raise raises increase salary inflation pay year company review",Compensation and pay rights,Raises and salary,include,high,"Clear disputes about raise size, promotion without pay, and salary review."
3,"rehearsal good team bad employees people want managing",Other,Generic manager-role discussion,exclude,medium,"Expanded review shows some manager-competence complaints but too much deleted and generic material for a bounded theme-level prevalence claim."
4,"covid positive tested test sick symptoms quarantine vaccinated",Health safety and attendance,COVID and workplace illness,include,high,"Clear illness, testing, exposure, and employer-response narratives."
5,"check paycheck paid pay deposit payroll checks paychecks",Compensation and pay rights,Payroll and withheld wages,include,high,"Clear paycheck, commission, payroll, and wage-withholding complaints."
6,"remote office home hybrid wfh remotely rto return commute",Work arrangements and control,Remote hybrid and return-to-office,include,high,"Clear remote-work, hybrid policy, and return-to-office conflict."
7,"coworker like things said just doesn office don talk",Workplace authority and interpersonal conflict,Interpersonal mistreatment and role overload,include,medium,"Samples show intimidation, manager conflict, and role overload; retain as a broad provisional subtheme."
8,"life school want career college money degree years live",Career precarity and exit,Economic strain and career pressure,include,medium,"Samples concern low pay, career tradeoffs, and work's strain on life."
9,"notice weeks period week giving resignation leaving leave quit",Career precarity and exit,Notice periods and resignation,include,high,"Clear two-week-notice and departure-process narratives."
10,"schedule availability scheduled saturday sunday days weekend shifts",Scheduling hours and time off,Scheduling and availability,include,high,"Clear shifts, availability, and schedule-change disputes."
11,"pto vacation use approved days request time policy unlimited",Scheduling hours and time off,PTO and unpaid time off,include,high,"Clear PTO accrual, approval, and unpaid-time disputes."
12,"tips tip tipping restaurant pool cash tipped servers server",Service work and tips,Tipping and tip withholding,include,medium,"Expanded review is predominantly about tip pooling, withholding, and service-worker pay; some lexical false positives remain and are retained as a stated limitation."
13,"vacation request trip days approved time week vacations denied",Scheduling hours and time off,Vacation denial,include,high,"Clear vacation denial, cancellation, and approved-leave reversal narratives."
14,"union unions strike unionize workers unionizing vote join",Collective worker power and rights,Unionization and strikes,include,high,"Clear organizing, union myths, and strike discussion."
15,"restaurant kitchen chef cook food bar server prep staff",Service work and tips,Hospitality and restaurant conditions,include,high,"Clear restaurant and hospitality working-condition narratives."
16,"break breaks lunch minute 30 minutes hour lunches meal",Scheduling hours and time off,Meal and rest breaks,include,high,"Clear denied, unpaid, or missed break narratives."
17,"review reviews performance glassdoor feedback rating evaluation",Workplace authority and interpersonal conflict,Performance reviews feedback and employer reputation,include,medium,"Expanded review supports performance-management and workplace-feedback content, while retaining the mixed employer-review component in the subtheme label."
18,"quit quitting resign leaving tell today leave resigned want",Career precarity and exit,Quitting decisions,include,high,"Clear decisions to quit and accounts of toxic departures."
19,"funeral bereavement died mom passed family dad death",Health safety and attendance,Bereavement and compassionate leave,include,high,"Clear bereavement-related leave and employer-response narratives."
20,"promotion promoted position role team level title company senior",Career precarity and exit,Promotion and advancement,include,high,"Clear promotion, title, and advancement disputes."
21,"mental health autistic disability autism disabled anxiety ptsd",Health safety and attendance,Mental health and disability,include,high,"Clear disability, mental-health, and accommodation narratives."
22,"wages discuss discussing illegal nlrb pay discussion salaries protected",Compensation and pay rights,Pay transparency and wage discussion rights,include,high,"Clear pay-discussion restrictions and labor-rights questions."
23,"pregnant pregnancy baby maternity leave paternity birth weeks",Health safety and attendance,Pregnancy and parental leave,include,high,"Clear pregnancy discrimination, parental leave, and accommodation narratives."
24,"snow weather storm roads hurricane ice drive car winter",Health safety and attendance,Weather and commute safety,include,high,"Clear unsafe-weather attendance and travel-pressure narratives."
25,"sick calling called come days feeling leave flu today",Health safety and attendance,Sick leave and attendance pressure,include,high,"Clear illness, call-out, and retaliation-after-sick-leave narratives."
26,"fired firing got adverse threatened activity today swap protected",Career precarity and exit,Firing retaliation and termination,include,medium,"Terms are clear but sampled bodies are sparse; retain pending a broader review."
27,"overtime exempt ot hours salaried 40 salary pay hourly",Compensation and pay rights,Overtime and exempt status,include,high,"Clear unpaid-overtime and salary-classification disputes."
28,"phone phones personal cell app number use text using download",Work arrangements and control,Personal-phone and off-hours boundaries,include,high,"Clear personal-device control and after-hours contact boundaries."
29,"antiwork sub anti movement subreddit society people posts mods",Other,Community meta-discussion,exclude,high,"Not a workplace-experience theme."
